# @name: Hlavní města
# @phrase1: Hlavní město země
# @phrase2:
# @quote: 0
# @accent: #46BEE6
# @accent_ref: #9AD4EE
# --- Evropa ---
Albánie	Tirana
Guatemala	Guatemala City
Honduras	Tegucigalpa
Kostarika	San José
Nikaragua	Managua
Panama	Panama
Salvador	San Salvador
# --- Karibik ---
Americké Panenské ostrovy	Charlotte Amalie
Anguilla	The Valley
Antigua a Barbuda	Saint John's
Aruba	Oranjestad
Bahamy	Nassau
Barbados	Bridgetown
Britské Panenské ostrovy	Road Town
Curaçao	Willemstad
Dominika	Roseau
Dominikánská republika	Santo Domingo
Grenada	Saint George's
Guadeloupe	Basse-Terre
Haiti	Port-au-Prince
Jamajka	Kingston
Kajmanské ostrovy	George Town
Karibské Nizozemsko	Kralendijk
Kuba	Havana
Martinik	Fort-de-France
Montserrat	Plymouth
Portoriko	San Juan
Svatá Lucie	Castries
Svatý Bartoloměj	Gustavia
Svatý Kryštof a Nevis	Basseterre
Svatý Martin (Francie)	Marigot
Svatý Martin (Nizozemsko)	Philipsburg
Svatý Vincenc a Grenadiny	Kingstown
Trinidad a Tobago	Port of Spain
Turks a Caicos	Cockburn Town
# --- Jižní Amerika ---
Argentina	Buenos Aires
Bolívie	Sucre
Brazílie	Brasília
Chile	Santiago
Ekvádor	Quito
Falklandy	Stanley
Francouzská Guyana	Cayenne
Guyana	Georgetown
Kolumbie	Bogotá
Paraguay	Asunción
Peru	Lima
Surinam	Paramaribo
Uruguay	Montevideo
Venezuela	Caracas
# --- Oceánie ---
Americká Samoa	Pago Pago
Austrálie	Canberra
Cookovy ostrovy	Avarua
Fidži	Suva
Francouzská Polynésie	Papeetē
Guam	Hagåtña
Kiribati	South Tarawa
Kokosové ostrovy	West Island
Marshallovy ostrovy	Majuro
Mikronésie	Palikir
Nauru	Yaren
Niue	Alofi
Norfolk	Kingston
Nová Kaledonie	Nouméa
Nový Zéland	Wellington
Palau	Ngerulmud
Papua-Nová Guinea	Port Moresby
Pitcairnovy ostrovy	Adamstown
Samoa	Apia
Severní Mariany	Saipan
Tokelau	Fakaofo
Tonga	Nuku'alofa
Tuvalu	Funafuti
Vanuatu	Port Vila
Vánoční ostrov	Flying Fish Cove
Wallis a Futuna	Mata-Utu
Šalamounovy ostrovy	Honiara
# --- Antarktida ---
Francouzská jižní a antarktická území	Port-aux-Français
Jižní Georgie a Jižní Sandwichovy ostrovy	King Edward Point
