# @name: Korvax
# @phrase1: You have learned the
# @phrase2: Korvax word for
# @quote: 0
# @accent: #5FDCFF
# @accent_ref: #9CC8E0
rare	vaiut
reciprocal	lashimkin
shell	huvisto
watching	demyonnom
welcome	itvaarde
process	uzlovshi
peace	ulma
overpowered	ibiraetsim
today	enbur
vital	inka
words	azyvay
away	ums
average	ervomart
permissions	elnostomuksh
planetary	bedyniskap
request	ennits
fun	tepr
in	tuni
circuit	onstara
next	gods
give	vue
work	akh
impure	okmin
question	kandalast
recorded	olzoves
entrance	uganrogo
goodbye	lomayishn
subvert	avliaiut
production	amyzyvayev
teach	amcha
dialect	charye
combine	zunykehady
commendable	uppunicoigno
command	leyskyv
overseer	hilovskyv
biological	ludatayrnya
stone	yamazyv
mined	tinsar
maximum	iutskyv
stabilise	poshaets
sample	gansiys
violence	tushkanau
procedure	zelovodst
starship	luymsikyvi
electronic	haetsivosh
apply	godoi
discussions	drovskyvinta
touch	ozzhev
light	niemei
here	edin
interface	pogaetsiis
excellent	aplyoginooz
order	emyo
through	shmanag
escaped	sozavo
studies	gadzhen
feed	oluc
follow	namenta
initialize	revkaryans
appropriate	rubcheguta
with	zenam
overload	amyzylsor
protection	alumyzyakh
central	torzya
atmospheric	yeleznikovk
remain	erpukh
drill	ladomo
know	ady
terminal	merobayev
success	radnic
behold	lazovay
available	ladogdanko
facility	yesotska
approaches	tetyukhladu
cannot	neudint
activity	lechatura
databank	voybrazd
certain	naulum
toxins	olniaet
log	chu
fabled	evdarg
corrosive	chashiesi
journey	hidutogq
resist	roshary
tech	neka
energy	naibol
show	rin
commences	roshoyarvie
await	etrop
highly	styugo
back-up	yinsta
returning	yabysihtagin
medial	lerov
extracting	myachinskyv
contraband	rodiashikhv
shine	nenyk
uploading	imbaykala
detected	atchinog
system	odorov
unexpected	gulyarnau
expenditure	mirnoznoykha
gift	lac
engaged	moletsk
finish	opkin
think	shoya
delivery	pionovk
disengaged	zerzhukovok
knowledge	vikhopyevo
entities	zuberech
this	ibol
non-intelligent	sevelskyvinume
product	beycahnogo
contribution	elburgansiysk
tools	eski
progress	oglegkorg
alone	eural
use	oul
board	bukhoy
at	ilo
states	lairtzy
will	push
all	ukh
unlock	trane
of	nii
for	sut
and	suma
choose	eurash
are	lak
to	gep
on	nok
you	ludo
is	ine
the	olkh
our	tinan
stars	ismanz
a	ond
i	ges
do	nag
see	itk
longrange	isilnyevsk
multitool	uglinooz
careful	poyatii
desk	retyuz
we	yuz
examine	azanski
using	devoi
what	bashich
alarmed	fitskiti
happening	lagodoij
open	paye
their	iushki
be	yems
sorry	form
hopes	vomestu
divergent	topoluche
material	udutong
where	asavi
everywhere	efremiuraza
aiee	leziam
around	benyev
found	davli
plants	poshate
irrelevance	gotyabinokac
accommodate	egezhgorone
biggest	gutaysh
secret	liyarvid
design	kuhrom
strange	irisogle
different	utsiiatni
superior	kehtubinsk
highest	brasavil
things	zovantu
effective	panovoku
long	syk
suit	amb
no	bod
metal	satkar
mortal	luygins
unite	anga
rampant	barnya
comes	ovdor
concerned	reapoluchi
one	lem
perhaps	vegorsky
expected	hegornoe
asks	liynk
am	hum
lifeforms	rozanykhar
my	mech
resonance	herkaslibe
report	elgov
still	sutok
it	vir
holoterminus	sycahnovoyet
from	nil
seeing	emansk
find	otele
puzzle	timya
there	bodarn
again	myzah
go	gar
interesting	vuktyabrasko
been	ubi
as	yud
may	but
encounters	rudskoideco
knows	ryanov
already	boksitog
eleven	voyer
rebirth	usinni
compensation	apredovuralsk
video	eyevoz
private	ezhnyev
discoveries	yermeshkov
promised	ubchekans
minor	akinog
three	lidovo
well	ach
polo	amy
brings	nodeli
did	ubi
such	eli
disconnected	engoyetainicc
earn	nevet
must	lore
present	eudint
two	esti
connection	zovoaltiysk
hear	mogon
organic	akanaul
beautiful	ligarimovs
sixteen	tebeyt
learned	nerogoro
shall	zeleu
us	vob
mind	flagi
hard	butur
these	zeliz
fine	ayg
worlds	tunevi
generation	amillerob
requests	hidenpokh
tiny	zer
assemble	ilskogae
everything	zereslibro
fan	deyk
four	loyur
aids	zadu
logs	pes
yet	yup
yes	pozz
they	erc
allocated	ryimskyviu
continue	piyskit
moment	torzhig
fade	dey
assist	ziyvayan
saw	olot
adjust	slyudya
service	gaetsim
pleasure	rostarsky
upon	usm
faster	yeskoid
trapped	kitimanz
nonexistence	yorskovokhay
warping	talnyev
broadcasts	yesseltsy
value	iyevol
voice	obuzh
charging	runinok
rewarding	renyevoi
heartbeat	yabrsukyvi
disappointing	zavodskommun
score	uver
nanites	ugulmato
most	tana
reduced	rilovking
succeeds	suselyoshe
warped	ishieme
draw	ogu
series	sosno
unit	abe
enjoy	ekana
drama	tobo
missions	ebnyevka
while	roko
anything	etlogriv
both	vukt
nada	pev
after	vikoel
was	tima
terminate	pudomaysh
task	rac
before	iinsky
between	ikhardo
truth	atniko
flesh	ernu
breached	esyegors
harvest	munart
eyes	dika
disagree	honyevs
suspicious	soglegkou
nature	ukovsev
favourites	zarenyovs
had	luk
let	ogn
origin	bezhna
way	dano
suppose	virskovs
real	loymsik
transfer	medynosba
enough	mertaur
complete	hudenpokro
shed	ishcoh
try	nadz
rewards	ruskyuviu
test	brs
offer	bess
an	dud
why	ubk
very	rolo
attention	azinokamsk
persist	atovor
sounds	minyan
forgiven	tadtrund
job	form
have	lamy
prepared	ukoyenaea
gate	ugin
aid	zeme
ago	mec
end	avas
universe	raktorab
performing	yuzhasavia
possessions	abrsekyvina
imagined	lezname
controlled	oguchaylov
portable	odvigatc
keep	etl
beaten	uitel
six	atel
learn	achi
logged	palla
instantiation	sudzhachitama
would	mirn
build	sumanz
distortion	arachyegon
passes	vomins
exocraft	nuguryuka
breach	runinsk
its	yon
doors	fitsia
each	ray
reestablish	ryinstevovo
look	yuch
abyss	limyzya
congratulations	ozmodemerouglego
now	luy
waited	teryu
beckons	gepast
nothing	nerogobe
looks	tiam
skilled	bezhdo
costume	kuyshest
message	rabanov
water	aktotm
about	eksin
largest	modeys
visible	akzhets
wrong	furm
life	liny
package	viremovse
statistics	vorogorodia
enter	esoz
so	hola
absence	ommuna
like	hilku
but	ads
anomaly	nuyovsh
pleased	tionoslu
warn	siselb
smiles	itkyart
other	evdar
victory	kazhdogo
percent	zensky
start	algo
settle	novsky
has	nur
stronger	hatsialn
closer	hutins
earning	rimontoro
carapace	dazhevsko
warp	tovsh
twelve	dudino
check	rozo
immediate	edinkarsal
world	evdar
transmitter	unguruslaval
once	mak
more	arii
five	nisiy
projection	amskyvium
analysis	uboevushc
even	onno
business	kusanqab
them	loyar
best	odvi
notes	mari
communion	gulkevino
how	ezn
ten	mest
containment	iyevskyvin
purify	ransi
take	zilyu
much	anko
answer	havinsk
unpleasing	unechovori
say	zuyor
ancestor	emanzheg
sees	gar
pattern	ogutay
emergency	eapoluch
exchange	tuapsell
overcharge	izkimryuzhi
fuel	hala
should	ovnoslo
Echo	edn
grant	maiuts
exosuit	valovorki
upgrades	obluchi
lifeform's	ribinskyvin
Inferior	divolch
lead	ramato
inevitable	liziamnontar
disconnection	ovetsialnyokha
buy	rish
safe	netey
watch	vudelet
proceeding	yelkinoozyo
smoothly	yegodskom
Matter	nuteyugoi
explosion	duyonkitc
speak	visegda
probe	hopy
Microprocessor	suzdalayano
companion	hizdraren
disconnection	ivdelabaymazy
jobs	pad
discovered	podolezhnye
by	atu
aboard	eskiy
rarely	sochays
appeals	yauzan
independent	echnogdanka
pilot	olsho
need	likhi
services	ankarmaiy
some	uzh
cargo	zoria
hauling	oginic
unmasking	duvigalitv
peril	ozovo
