# @name: Capitals
# @phrase1: Capital of
# @phrase2:
# @quote: 0
# @accent: #46BEE6
# @accent_ref: #9AD4EE
# --- Europe ---
Albania	Tirana
Papua New Guinea	Port Moresby
Pitcairn Islands	Adamstown
Samoa	Apia
Northern Mariana Islands	Saipan
Tokelau	Fakaofo
Tonga	Nuku'alofa
Tuvalu	Funafuti
Vanuatu	Port Vila
Christmas Island	Flying Fish Cove
Wallis and Futuna	Mata-Utu
Solomon Islands	Honiara
# --- Antarctica ---
French Southern and Antarctic Lands	Port-aux-Français
South Georgia	King Edward Point
